Forming,$H$,$B$,$r_o$,$t$,$L_{c}$,$L_{c}/r$,$F_y$,$N_u (kN)$
Hot-rolled,100.48625,100.47625,8.375,4.04375,952,24.36563802,787.3,1148.1
Hot-rolled,100.125,100.9425,7.9375,4.011875,1349,34.5728285,787.3,1053.6
Hot-rolled,100.16625,100.7,8.625,4.01625,1749.75,44.90589494,787.3,1071.1
Hot-rolled,99.53,101.34,7.81,4.02,2150.3,55.35740387,787.3,807
Hot-rolled,100.98,100.24,8.44,4.03,2547.4,64.91247688,787.3,668.4
Hot-rolled,100.4,100.47,8.25,4.02,2950,75.49962897,787.3,498.1
Hot-rolled,120.12125,118.66375,10.5,6.373125,2153,46.75411312,859,1873.5
Hot-rolled,118.7075,120.35,11.25,6.365625,2351.25,51.57882401,859,1610.6
Hot-rolled,120.13125,119.1825,11.25,6.3425,2549.75,55.37375558,859,1549.2
Hot-rolled,119.3025,119.12875,10,6.3015625,2751.75,60.03007666,859,1343.3
Hot-rolled,119.065,119.16875,9.5,6.333125,2948.875,64.42514135,859,1223.8
Hot-rolled,119.3175,119.22625,9.625,6.3134375,3073,67.00141608,859,1148.4
Hot-rolled,50.33,50.32,7,4.98,427,23.26871025,505,427
Hot-rolled,50.23,50.36,7,4.69,668.5,36.2979128,505,396
Hot-rolled,50.48,50.44,7,4.95,907,49.23866424,505,384
Hot-rolled,50.26,50.36,7,4.63,1220,66.13127071,505,282
Hot-rolled,50.43,50.43,7,4.89,1529,82.99484726,505,217
Hot-rolled,50.37,50.52,7.01,5.01,1700,92.56617796,505,182
Hot-rolled,50.32,50.32,7,5.05,1859,101.454484,505,151
Hot-rolled,50.37,50.39,7,4.92,2150,116.9160316,505,126
Hot-rolled,70,69.96,10,6.22,649.5,25.22795953,531,792
Hot-rolled,69.9,69.95,10.01,6.29,939,36.55854114,531,762
Hot-rolled,69.99,69.97,10,6.37,1280,49.82331777,531,651
Hot-rolled,69.83,69.91,10,6.32,1710,66.67094229,531,531
Hot-rolled,69.96,70.06,10.01,6.32,2150,83.65154275,531,367
Hot-rolled,69.95,70.02,10,6.21,2400,93.25983269,531,309
Hot-rolled,69.95,70.07,10.51,6.17,2600,101.1043102,531,264
Hot-rolled,70,70.02,10,6.37,3020,117.5228073,531,208
Hot-rolled,99.69,99.28,11,5.19,858.3,22.49821768,511,878
Hot-rolled,99.82,99.28,11,5.31,1759,46.10462656,511,798
Hot-rolled,99.37,99.82,10.23,5.23,2949,77.39999091,511,557
Hot-rolled,50.47,50.44,7.01,4.99,426,23.14880139,759,690
Hot-rolled,50.47,50.47,7,4.76,668.5,36.1672362,759,637
Hot-rolled,50.45,50.43,7,4.82,905.5,49.06856694,759,562
Hot-rolled,50.67,50.51,7,4.79,1220,65.78307791,759,391
Hot-rolled,50.4,50.4,7,4.79,1529,82.8961086,759,248
Hot-rolled,50.6,50.4,7,4.95,1700,92.08925578,759,201
Hot-rolled,50.53,50.48,7,4.93,1860,100.8287596,759,166
Hot-rolled,50.6,50.52,7,4.84,2150,116.1867562,759,119
Hot-rolled,100.43,100.53,11,5.67,858,22.39725902,782,1571
Hot-rolled,100.5,100.52,10.5,5.72,1760,45.89831932,782,1420
Hot-rolled,100.7,100.59,12,5.78,2950,77.01692547,782,680
Hot-rolled,119.8333333,79.78666667,11.6175,5.41125,150,4.736362137,464.8975,1090
Hot-rolled,119.9222222,79.81027778,11.76645833,5.438333333,1473,46.51858494,464.8975,986.2
Hot-rolled,119.9222222,79.81027778,11.76645833,5.438333333,1473,46.51858494,464.8975,958.14
Hot-rolled,119.9222222,79.81027778,11.76645833,5.438333333,1473,46.51858494,464.8975,964.62
Hot-rolled,119.9222222,79.81027778,11.76645833,5.438333333,1973,62.30900752,464.8975,858.08
Hot-rolled,119.9222222,79.81027778,11.76645833,5.438333333,1973,62.30900752,464.8975,815.11
Hot-rolled,119.9222222,79.81027778,11.76645833,5.438333333,1973,62.30900752,464.8975,858.28
Hot-rolled,119.9222222,79.81027778,11.76645833,5.438333333,2473,78.09943011,464.8975,626.47
Hot-rolled,119.9222222,79.81027778,11.76645833,5.438333333,2473,78.09943011,464.8975,636.18
Hot-rolled,119.9222222,79.81027778,11.76645833,5.438333333,2473,78.09943011,464.8975,682.48
Hot-rolled,119.9222222,79.81027778,11.76645833,5.438333333,2473,78.09943011,464.8975,670.02
Hot-rolled,119.9222222,79.81027778,11.76645833,5.438333333,2873,90.73176817,464.8975,503.25
Hot-rolled,119.9222222,79.81027778,11.76645833,5.438333333,2873,90.73176817,464.8975,506
Hot-rolled,119.9222222,79.81027778,11.76645833,5.438333333,2873,90.73176817,464.8975,521.4
Hot-rolled,119.8333333,79.79666667,11.74875,5.56125,3871,122.4490208,464.8975,289.2
Hot-rolled,120.2833333,79.83,11.99625,5.40625,3872,122.2041906,464.8975,287.63
Hot-rolled,119.8833333,79.88166667,11.70625,5.4225,3873,122.1802774,464.8975,295.48
Hot-rolled,119.4,119.4,13.85,7.90625,2283,50.66617257,538.17,1652.47
Hot-rolled,119.4416667,119.4416667,13.83,7.69125,2282,50.54226567,538.17,1649.45
Hot-rolled,119.6166667,119.6166667,14.055,7.64125,2282,50.4641544,538.17,1702.62
Hot-rolled,119.3583333,119.3583333,13.78125,7.68,2282,50.57177162,538.17,1629.64
Hot-rolled,119.0666667,119.0666667,13.97875,7.8175,2982,66.3505859,538.17,1314.15
Hot-rolled,119.6,119.6,13.9275,7.8475,2981,66.01725359,538.17,1356.33
Hot-rolled,119.6083333,119.6083333,14.11,7.915,2980,66.04448365,538.17,1363.59
Hot-rolled,119.4166667,119.4166667,13.8825,7.7275,2982,66.08488245,538.17,1335.53
Hot-rolled,119.3583333,119.3583333,13.96875,7.76625,3682,81.67686043,538.17,1016.12
Hot-rolled,119.7,119.7,14.05375,7.89625,3682,81.51555762,538.17,1017.1
Hot-rolled,119.4833333,119.4833333,13.8925,7.79,3681,81.5656579,538.17,928.81
Hot-rolled,119.5833333,119.5833333,13.765,7.79375,3680,81.45375922,538.17,1016.9
