Forming,$H$,$B$,$r_o$,$t$,$L_{c}$,$L_{c}/r$,$F_y$,$A_{e}$,$I$,$L_{c}/r$,$N_u (kN)$,Author,Title
Hot-rolled,100.48625,100.47625,8.375,4.04375,952,24.36563802,787.3,1515.172317,2313025.112,24.36563802,1148.1,Meng & Gardner (2020),Flexural buckling of hot-finished high-strength steel shs and rhs columns
Hot-rolled,100.125,100.9425,7.9375,4.011875,1349,34.5728285,787.3,1509.884696,2300200.485,34.5728285,1053.6,Meng & Gardner (2020),Flexural buckling of hot-finished high-strength steel shs and rhs columns
Hot-rolled,100.16625,100.7,8.625,4.01625,1749.75,44.90589494,787.3,1502.462387,2281124.038,44.90589494,1071.1,Meng & Gardner (2020),Flexural buckling of hot-finished high-strength steel shs and rhs columns
Hot-rolled,99.53,101.34,7.81,4.02,2150.3,55.35740387,787.3,1515.843079,2287183.061,55.35740387,807,Meng & Gardner (2020),Flexural buckling of hot-finished high-strength steel shs and rhs columns
Hot-rolled,100.98,100.24,8.44,4.03,2547.4,64.91247688,787.3,1514.123747,2331842.953,64.91247688,668.4,Meng & Gardner (2020),Flexural buckling of hot-finished high-strength steel shs and rhs columns
Hot-rolled,100.4,100.47,8.25,4.02,2950,75.49962897,787.3,1510.809464,2306556.482,75.49962897,498.1,Meng & Gardner (2020),Flexural buckling of hot-finished high-strength steel shs and rhs columns
Hot-rolled,120.12125,118.66375,10.5,6.373125,2153,46.75411312,859,2804.868877,5947863.273,46.75411312,1873.5,Meng & Gardner (2020),Flexural buckling of hot-finished high-strength steel shs and rhs columns
Hot-rolled,118.7075,120.35,11.25,6.365625,2351.25,51.57882401,859,2790.642847,5799078.703,51.57882401,1610.6,Meng & Gardner (2020),Flexural buckling of hot-finished high-strength steel shs and rhs columns
Hot-rolled,120.13125,119.1825,11.25,6.3425,2549.75,55.37375558,859,2789.803366,5915082.905,55.37375558,1549.2,Meng & Gardner (2020),Flexural buckling of hot-finished high-strength steel shs and rhs columns
Hot-rolled,119.3025,119.12875,10,6.3015625,2751.75,60.03007666,859,2775.35166,5831740.278,60.03007666,1343.3,Meng & Gardner (2020),Flexural buckling of hot-finished high-strength steel shs and rhs columns
Hot-rolled,119.065,119.16875,9.5,6.333125,2948.875,64.42514135,859,2790.51748,5846375.618,64.42514135,1223.8,Meng & Gardner (2020),Flexural buckling of hot-finished high-strength steel shs and rhs columns
Hot-rolled,119.3175,119.22625,9.625,6.3134375,3073,67.00141608,859,2784.773076,5857967.645,67.00141608,1148.4,Meng & Gardner (2020),Flexural buckling of hot-finished high-strength steel shs and rhs columns
Hot-rolled,50.33,50.32,7,4.98,427,23.26871025,505,864.7130854,291194.4932,23.26871025,427,Wang & Gardner (2017),Flexural buckling of hot-finished high-strength steel shs and rhs columns
