Forming,$H$,$B$,$r_o$,$t$,$L_{c}$,$L_{c}/r$,$F_y$,$A_{e}$,$I$,$L_{c}/r$,$N_u (kN)$
Hot-rolled,100.48625,100.47625,8.375,4.04375,952,24.36563802,787.3,1515.172317,2313025.112,24.36563802,1148.1
Hot-rolled,100.125,100.9425,7.9375,4.011875,1349,34.5728285,787.3,1509.884696,2300200.485,34.5728285,1053.6
Hot-rolled,100.16625,100.7,8.625,4.01625,1749.75,44.90589494,787.3,1502.462387,2281124.038,44.90589494,1071.1
Hot-rolled,99.53,101.34,7.81,4.02,2150.3,55.35740387,787.3,1515.843079,2287183.061,55.35740387,807
Hot-rolled,100.98,100.24,8.44,4.03,2547.4,64.91247688,787.3,1514.123747,2331842.953,64.91247688,668.4
Hot-rolled,100.4,100.47,8.25,4.02,2950,75.49962897,787.3,1510.809464,2306556.482,75.49962897,498.1
Hot-rolled,120.12125,118.66375,10.5,6.373125,2153,46.75411312,859,2804.868877,5947863.273,46.75411312,1873.5
Hot-rolled,118.7075,120.35,11.25,6.365625,2351.25,51.57882401,859,2790.642847,5799078.703,51.57882401,1610.6
Hot-rolled,120.13125,119.1825,11.25,6.3425,2549.75,55.37375558,859,2789.803366,5915082.905,55.37375558,1549.2
Hot-rolled,119.3025,119.12875,10,6.3015625,2751.75,60.03007666,859,2775.35166,5831740.278,60.03007666,1343.3
Hot-rolled,119.065,119.16875,9.5,6.333125,2948.875,64.42514135,859,2790.51748,5846375.618,64.42514135,1223.8
Hot-rolled,119.3175,119.22625,9.625,6.3134375,3073,67.00141608,859,2784.773076,5857967.645,67.00141608,1148.4
Hot-rolled,50.33,50.32,7,4.98,427,23.26871025,505,864.7130854,291194.4932,23.26871025,427
Hot-rolled,50.23,50.36,7,4.69,668.5,36.2979128,505,818.0683875,277478.3656,36.2979128,396
Hot-rolled,50.48,50.44,7,4.95,907,49.23866424,505,862.6434969,292707.1973,49.23866424,384
Hot-rolled,50.26,50.36,7,4.63,1220,66.13127071,505,808.7532282,275246.5937,66.13127071,282
Hot-rolled,50.43,50.43,7,4.89,1529,82.99484726,505,852.5221554,289346.6011,82.99484726,217
Hot-rolled,50.37,50.52,7.01,5.01,1700,92.56617796,505,871.7688065,294031.9361,92.56617796,182
Hot-rolled,50.32,50.32,7,5.05,1859,101.454484,505,875.656134,294001.7269,101.454484,151
Hot-rolled,50.37,50.39,7,4.92,2150,116.9160316,505,856.3046536,289572.3508,116.9160316,126
Hot-rolled,70,69.96,10,6.22,649.5,25.22795953,531,1512.773333,1002692.854,25.22795953,792
Hot-rolled,69.9,69.95,10.01,6.29,939,36.55854114,531,1526.923082,1007327.362,36.55854114,762
Hot-rolled,69.99,69.97,10,6.37,1280,49.82331777,531,1546.253213,1020552.301,49.82331777,651
Hot-rolled,69.83,69.91,10,6.32,1710,66.67094229,531,1532.328161,1008023.872,66.67094229,531
Hot-rolled,69.96,70.06,10.01,6.32,2150,83.65154275,531,1535.758858,1014499.971,83.65154275,367
Hot-rolled,69.95,70.02,10,6.21,2400,93.25983269,531,1510.660514,1000460.847,93.25983269,309
Hot-rolled,69.95,70.07,10.51,6.17,2600,101.1043102,531,1496.920056,989933.365,101.1043102,264
Hot-rolled,70,70.02,10,6.37,3020,117.5228073,531,1547.017613,1021562.235,117.5228073,208
Hot-rolled,99.69,99.28,11,5.19,858.3,22.49821768,511,1882.673395,2740040.497,22.49821768,878
Hot-rolled,99.82,99.28,11,5.31,1759,46.10462656,511,1925.582193,2802881.408,46.10462656,798
Hot-rolled,99.37,99.82,10.23,5.23,2949,77.39999091,511,1905.741165,2766506.156,77.39999091,557
Hot-rolled,50.47,50.44,7.01,4.99,426,23.14880139,759,868.8018225,294227.2575,23.14880139,690
Hot-rolled,50.47,50.47,7,4.76,668.5,36.1672362,759,832.5635847,284439.2925,36.1672362,637
Hot-rolled,50.45,50.43,7,4.82,905.5,49.06856694,759,841.5711351,286589.973,49.06856694,562
Hot-rolled,50.67,50.51,7,4.79,1220,65.78307791,759,839.6585873,288797.89,65.78307791,391
Hot-rolled,50.4,50.4,7,4.79,1529,82.8961086,759,836.0181873,284421.4908,82.8961086,248
Hot-rolled,50.6,50.4,7,4.95,1700,92.08925578,759,863.4354969,294245.4903,92.08925578,201
Hot-rolled,50.53,50.48,7,4.93,1860,100.8287596,759,860.3552297,292775.5745,100.8287596,166
Hot-rolled,50.6,50.52,7,4.84,2150,116.1867562,759,847.0822253,290060.9298,116.1867562,119
